statement,category
"Supreme Court addresses judge recusal over media-reported familial bias in constitutional petition, upholding judicial impartiality under conduct rules.",Constitutional
"Supreme Court criticizes Islamabad Police's incompetence, lack of diligence investigating anti-state banners, ordering IGP explanation for security lapse.",Constitutional
KPK Local Government Act non-compliance on public property disclosure and constitutional violation for not holding local elections.,Constitutional
"SCOP examines delays in Cantonment Local Government Elections, constitutional mandate (Art. 140A), existing law, and contempt of court.",Constitutional
"Supreme Court reviews illegal Ephedrine quota allocation, ANF investigation obstruction, and official transfers concerning high-ranking individuals under Narcotic Substances Act.",Criminal
"Ephedrine illegal quota allocation, criminal negligence by pharma companies/officials, high-level investigation interference.",Criminal
"No judgment text provided, unable to derive case information for analysis.",Civil
"SC dismisses judges' review petitions on maintainability, upholding judgment against Musharraf's unconstitutional PCO judicial appointments.",Constitutional
"Court addresses reports of government's intent to withdraw judges' restoration notification, affirming judiciary's constitutional mandate against pressure.",Constitutional
"Court grants extension for long-delayed Cantonment Board elections, emphasizing local government's constitutional importance under Articles 32, 140A.",Constitutional
Supreme Court directs ECP/HEC for urgent verification of parliamentarians' degrees amidst fake/bogus allegations.,Constitutional
Supreme Court reviews parliamentarians' fake/bogus degrees; suspends memberships for Raja Shaukat Aziz Bhatti and Kh. Muhammad Islam.,Constitutional
"Supreme Court inquires into alleged misappropriation of millions from Intelligence Bureau funds for undisclosed purposes, demanding expenditure details.",Constitutional
Contempt proceedings initiated against NAB Chairman/officers for non-implementation of judgment on RPPs corruption case.,Constitutional
"Supreme Court reviews OGRA's arbitrary CNG pricing process infringing fundamental rights, directs lawful determination.",Constitutional
Empty judgment text; analysis not possible.,Civil
"Validity of NBP President's fifth reappointment challenged; amendment via Finance Act, 2007, of Banks Nationalization Act declared unconstitutional.",Constitutional
"SC presses governments for immediate enforcement of Articles 32, 140A for Local Bodies Elections, ensuring constitutional adherence.",Constitutional
"Constitutional petition challenging Deputy Speaker's ruling on Punjab CM election, setting aside vote exclusion under Article 63A.",Constitutional
"SC voids Pakistan Railways Golf Club land lease due to non-transparent process, corruption, and massive public loss under Article 184(3).",Constitutional
"SCBA seeks adherence to Constitution, peaceful no-confidence motion process; addresses Sindh House violence and Article 63A reference.",Constitutional
"Interpreting Article 63A of Constitution regarding political party defections, vote counting, and lifetime disqualification in parliamentary democracy.",Constitutional
Constitutional interpretation of Article 63-A regarding no-confidence motion and restraining political rallies in Islamabad.,Constitutional
"SC reviews illegal SMG/prohibited bore weapon licenses, public safety, constitutional equality, and government's role in arms control.",Constitutional
"SC declares ECP's extension of Punjab elections beyond 90 days unconstitutional, quashes order, revives schedule, directs support.",Constitutional
Petition challenging ECP's ultra vires order annulling election polling date set by President under Constitution and Elections Act.,Constitutional
"Constitutional challenge to Election Commission's order, alleging ultra vires actions on election financial and security issues.",Constitutional
"Supreme Court directs State Bank to release Rs. 21B for Punjab/KP elections, enforcing constitutional mandate.",Constitutional
"Judge recuses from bench over ex-parte order, lack of consultation, urging Full Court for constitutional issues.",Constitutional
SCP quashes ECP order extending Punjab Assembly election beyond 90-day constitutional period; mandates executive aid.,Constitutional
"Supreme Court takes suo motu notice of systematic deforestation at Fatima Jinnah Park, Islamabad, impacting fundamental rights.",Constitutional
"SCP concerned about CDA's systematic deforestation of Fatima Jinnah Park, Islamabad, exceeding paper mulberry removal.",Constitutional
No judgment text provided for analysis to extract case details.,Civil
"Challenge to Supreme Court (Practice and Procedure) Act, 2023 vires; Act sustained, but retrospective appeal right declared ultra vires.",Constitutional
"Case concerns Parliament's legislative competence to enact Supreme Court (Practice and Procedure) Act 2023, interpreting Article 191 and scope of intra-court appeals.",Constitutional
"Constitutional petitions challenge/seek setting aside of Supreme Court (Practice and Procedure) Bill, 2023.",Constitutional
"Petitions challenge Supreme Court (Practice and Procedure) Bill 2023's constitutionality, impacting judicial independence via Article 184(3).",Constitutional
"SC judgment on Supreme Court (Practice and Procedure) Act, 2023, declaring retrospective appeal for Article 184(3) orders ultra vires.",Constitutional
"Challenge to Supreme Court (Practice and Procedure) Act, 2023 (PAPA) over legislative competence, judicial independence, declared ultra vires.",Constitutional
"Challenging Supreme Court (Practice and Procedure) Act 2023; ruling it ultra vires, upholding judicial independence under Article 191.",Constitutional
Supreme Court (Practice and Procedure) Act 2023 vires challenged; legislative competence and appeal rights under Article 184(3) debated.,Constitutional
"SC Practice and Procedure Act 2023 challenged; legislative competence upheld, but retrospective appeal rights declared ultra vires the Constitution.",Constitutional
"Empty judgment provided, no case details to analyze.",Civil
"Constitution petition on vacant Vice-Chancellor positions, non-compliance with statutory meetings, and excessive non-academic staff in public universities.",Constitutional
"Supreme Court directs action on Karachi/Jacobabad illegal encroachments, amenity land violations, and rehabilitation of Nalah affectees.",Constitutional
"Constitution Petition concerning compensation for demolition affectees (Nallahs, Nasla Tower, Tejori Heights) and removal of public land encroachments.",Constitutional
,Civil
Missing judgment text; unable to analyze and derive case details.,Civil
No case judgment text provided; unable to extract details.,Civil
"Petition for simultaneous General Elections of National/Provincial Assemblies through political dialogue, upholding constitutional 90-day election mandate.",Constitutional
SC facilitates political parties' dialogue for consensus on simultaneous National/Provincial Assemblies' election date.,Constitutional
"Petitions challenge judge's conduct, alleging blackmail and video evidence in Nawaz Sharif's conviction case; SC advises on evidence/disciplinary action.",Constitutional
Supreme Court dismissed constitutional petition for transfer of PEMRA Chairman appointment challenges from multiple High Courts; inconvenience insufficient.,Constitutional
Constitution Petition challenges Pakistan Bar Council's de-seating of SCBA officials and show-cause notices invoking Article 184(3).,Constitutional
SCBA challenged PBC's show-cause notices and de-seating notifications; amicably resolved via constitutional petition under Article 184(3).,Constitutional
Constitutional petition challenging government's inquiry commission into alleged judges' audio leaks for violating judicial independence and separation of powers.,Constitutional
"No judgment text provided, unable to analyze and extract case details.",Civil
"Supreme Court quashes presidential reference against Justice Qazi Faez Isa, orders tax probe into family's foreign assets.",Constitutional
"Presidential Reference against Justice Qazi Faez Isa for undeclared foreign assets quashed due to legal defects, FBR probe ordered.",Constitutional
"Challenge to Presidential Reference against a Supreme Court judge for alleged asset non-declaration, found mala fide and unconstitutional.",Constitutional
"Supreme Court quashes judge removal reference, citing illegal ARU surveillance, constitutional breaches, and malafide actions against judicial independence.",Constitutional
"Article 186A petition for transfer of ECP members' disqualification case from Sindh to Islamabad High Court, citing jurisdiction and fair trial.",Constitutional
"Petition challenging Article 209 accountability for retired/resigned judges and SJC procedural directions, dismissed by Supreme Court.",Constitutional
"Constitutional petition on fundamental rights, public order during political protest, and alleged breach of court assurances regarding Islamabad rally.",Constitutional
"Supreme Court declared NAB 2022 Amendments ultra vires, restoring original anti-corruption powers for public office holders.",Constitutional
,Civil
"No judgment text provided, analysis impossible.",Civil
No judgment text provided for analysis.,Civil
Supreme Court deliberates continuing Article 184(3) petition amidst challenges to Supreme Court (Practice and Procedure) Act 2023 validity and bench formation.,Constitutional
"Challenge to NAB Ordinance amendments on public office holders' corruption triability, fundamental rights, and legislative competence.",Constitutional
"Judge raises concerns over bench constitution under Supreme Court (Practice and Procedure) Act 2023, pending constitutional validity decision.",Constitutional
No judgment text provided for analysis.,Civil
"Challenge to Supreme Court (Review of Judgements and Orders) Act, 2023 vires; Act expands Article 188 review into appeal, violating judicial independence.",Constitutional
No judgment text provided to extract case details or legal issues.,Civil
No judgment text provided; unable to summarize case details and legal issues.,Civil
"No judgment text provided for analysis, therefore key information cannot be extracted.",Civil
"Jirgas/panchayats operating as parallel courts declared illegal, violating fundamental rights; FATA Interim Regulation also struck down for discrimination.",Constitutional
"SCP strikes down Sindh Local Government Act sections 74, 75(1) for violating Article 140A on devolution of powers.",Constitutional
"Challenge to the constitutional validity of trials of civilians under the Army Act, 1952; fundamental rights invoked.",Constitutional
"No judgment text supplied for analysis, unable to extract case details.",Civil
"No judgment text provided, preventing analysis and extraction of case details.",Civil
Constitutionality of civilian trials under the Army Act 1952 challenged; Supreme Court hears petitions on fundamental rights.,Constitutional
"Constitutional challenge to trials of civilians under Army Act 1952, seeking declaration as unconstitutional and void.",Constitutional
"Empty judgment text provided, no case details available for summary.",Civil
"Constitution Petitions challenging civilian trials under Pakistan Army Act; declared sections ultra vires, mandating trials by ordinary criminal courts.",Constitutional
Constitutional challenge against civilian trials under Army Act 1952; judge recused due to kinship with petitioner for impartiality.,Constitutional
,Civil
"Judgment text missing, preventing case summary, legal issue identification, and categorization.",Civil
"Declaring sections of Army Act allowing civilian military trials unconstitutional, violating fundamental right to fair trial and due process.",Constitutional
"SC declares military trials of civilians under Army Act unconstitutional, violating fundamental rights and fair trial.",Constitutional
"Supreme Court judgment with judicial signatures and notes, but specific case details are unavailable for analysis.",Civil
"Constitution Petitions challenging Panama Leaks tax liability, foreign exchange issues; court raises queries on maintainability, statutory bodies.",Constitutional
"Panama Papers: SC orders JIT to probe PM Nawaz Sharif for corruption, undeclared assets, and Article 62(1)(f) disqualification.",Constitutional
PM Nawaz Sharif disqualified for non-disclosure of Capital FZE assets and false declaration under Article 62(1)(f) of Constitution.,Constitutional
Supreme Judicial Council's in camera judicial misconduct inquiries challenged; constitutional validity of SJC Procedure of Enquiry 2005 and open court principles.,Constitutional
Supreme Court allows transfer of homicide and bail cancellation cases from Islamabad High Court due to judges' recusals under Article 186-A.,Constitutional
Supreme Court directs ECP and Attorney-General to meet President to finalize general election date post-delimitation by February 2024.,Constitutional
"Supreme Court facilitates President and ECP to announce general election date amidst census and delimitation delays, ensuring democracy.",Constitutional
"Constitution violated due to delayed general elections; public office holders failed to ensure timely polls, eroding fundamental rights.",Constitutional
Supreme Court examines non-implementation of Police Order 2002 on statutory tenure for police officers' postings and transfers.,Constitutional
"Petition seeking MNA Imran Khan's disqualification over foreign-aided party allegations, prohibited funds, and undeclared assets. Dismissed.",Constitutional
National Assembly member disqualified under Article 62(1)(f) for non-declaration of offshore company assets and untrue statements.,Constitutional
"Supreme Court holds disqualified persons cannot be political Party Heads under Articles 62/63/63-A, interpreting Election Act 2017.",Constitutional
"Constitutional Petition on fundamental right to clean water and safe environment in Sindh, alleging widespread violations and mismanagement.",Constitutional
Error: No judgment text provided for analysis.,Civil
"Lahore High Court judge challenges seniority re-fixation, arguing appointment date vs. oath date under Constitution Article 184(3).",Constitutional
"SCOP examines COAS tenure/extension legality, finding legal vacuum, directs Parliament to legislate within six months under constitutional mandate.",Constitutional
"Supreme Court examines COAS tenure and extension legality, finding a legal vacuum in Pakistan Army Act; directs Parliament to legislate.",Constitutional
"SC addresses Pakistan's Climate Change Act implementation, policy, and provincial strategies/budgets for existential climate threats.",Constitutional
Public interest petition on non-establishment of Climate Change Authority/Fund under 2017 Act; Federal Government directed to act.,Constitutional
"Constitutional petition challenges non-establishment of Climate Change Authority/Fund, rendering Act 2017 ineffective amid Pakistan's climate vulnerability.",Constitutional
Judge challenges SJC proceedings; court orders impleadment of complainants as proper parties in constitutional petitions.,Constitutional
Balochistan's natural gas lease dispute and monitoring of recovered oil/gas company funds for provincial social welfare.,Constitutional
Declared Punjab Local Government Act 2019's Section 3 dissolving elected local governments ultra vires Constitution; restored previous setup.,Constitutional
"Supreme Court mandates constitutional governance, fundamental rights, and independent judiciary for Gilgit-Baltistan without prejudicing Kashmir dispute.",Constitutional
Enforcement of constitutional mandate (Article 251) for Urdu as national official language; government inaction challenged.,Constitutional
"SC directs urgent construction of Diamer-Bhasha, Mohmand Dams to combat Pakistan's severe water scarcity under Article 184(3) right to life.",Constitutional
No judgment text provided to analyze and extract information for the case statement.,Civil
"Challenge by GB Judges to fixed tenure, seeking parity with SC Judges, dismissed as personal rights issue under Article 184(3).",Constitutional
"Overseas Pakistanis' right to vote via I-voting in bye-elections; ECP mandated to conduct pilot projects, ensuring system efficacy.",Constitutional
"Judicial misconduct: Justice Siddiqui's removal by SJC for speech without inquiry, violating fair trial and due process, held coram non judice.",Constitutional
Constitutional petition challenging Supreme Court service rules barring legal representation in disciplinary proceedings for dismissed employee.,Constitutional
"Supreme Court mandates legal education reforms, including LAW-GAT, LAT, faculty standards, and disaffiliating substandard law colleges.",Constitutional
"Pakistan Bar Council enforces Supreme Court judgment on declining legal education standards, directing reforms for law college affiliation and curriculum.",Constitutional
"Jurisdiction in detention/death of acquitted persons re-arrested, tried under FCR in Tribal Areas; Article 247(7) and 13 scope.",Constitutional
"SC directs Ministry of Defence, others to produce detenus from hospitals and internment centers in compliance with court orders.",Constitutional
"SC suspends presidential notifications for judicial appointments (SC Judge, LHC Acting CJ) citing Article 177 consultation violation.",Constitutional
"Challenge against PEMRA's withdrawal of exclusive ICC Cricket World Cup 2011 broadcasting rights, restoring Geo Super's entitlement via constitutional petition.",Constitutional
"Supreme Court voids unlawful LPG extraction project award by SSGCL to JJVL, citing non-transparent bidding, altered royalties, and public loss.",Constitutional
"Constitutional challenge to Habib Bank Limited privatization over mala fides, haste, financial mismanagement; upheld by Supreme Court.",Constitutional
"SC examines dual nationality of Parliament members under Article 63(1)(c), suspends MNA for conflicting oaths.",Constitutional
"Petition challenging Election Commission appointments by dual national; dismissed due to lack of locus standi, bona fides, and laches.",Constitutional
"Petitioner failed to challenge Election Commission's constitution due to dual citizenship, lack of locus standi, and fundamental rights violation.",Constitutional
"SC declared EOBI appointments illegal due to nepotism, corruption, and procedural violations, terminating services and directing NAB investigation.",Constitutional
"Challenge to vires of Supreme Court (Practice and Procedure) Act, 2023 regarding judicial independence and appeal rights.",Constitutional
"Constitution Petition on Lahore High Court Judges' seniority. Principles established for inter se seniority based on appointment, age, and service.",Constitutional
Constitution petition: inter se seniority of High Court Judges reckoned from initial Additional Judge appointment vs. permanent appointment.,Constitutional
"Supreme Court declares Musharraf's 2007 emergency, PCO, and judicial appointments unconstitutional, overruling the doctrine of necessity.",Constitutional
"Supreme Court declares Musharraf's 2007 Emergency, PCO, and judicial appointments unconstitutional and void, restoring judges.",Constitutional
Constitution petitions against Federation of Pakistan adjourned due to new judicial year and judicial commitments.,Constitutional
"Pakistan Supreme Court upholds 18th and 21st Constitutional Amendments, declining basic structure doctrine's application in judicial review.",Constitutional
"Supreme Court deliberates constitutional amendment power, basic structure doctrine, and judicial review concerning Articles 239, 175A, and 63A.",Constitutional
"SC examines Ex-PM's discretionary Rs.47 billion development fund (PWP-II) allocation to parliamentarians/notables, questioning constitutional validity and financial propriety.",Constitutional
"Bank of Punjab seeks loan recovery, investigating fraudulent mortgages, property valuation, and absconding individuals amidst financial irregularities.",Constitutional
"Constitutional petition against ex-PM Raja Parvez Ashraf's non-transparent allocation of PWP-II development funds, diverting from national projects.",Constitutional
"SC scrutinizes ex-PM's discretionary allocation of development funds to Parliamentarians and Notables, questioning transparency and criteria.",Constitutional
No judgment text provided for analysis; unable to summarize case details.,Civil
"Civil service promotions (BPS 20-21) cancelled for arbitrary criteria, non-transparent process, and irregular vacancies, necessitating objective policy.",Constitutional
"Protecting civil servants from political interference; ensuring rule-based appointments, transfers, promotions; upholding constitutional safeguards and good governance.",Constitutional
Constitutional petition challenging NAB Chairman/Prosecutor-General vacancies and Deputy Chairman exercising delegated powers; Court directs filling vacancies within one month.,Constitutional
"Supreme Court voids Caretaker Government's large-scale appointments, transfers, and postings, delineating its limited powers for day-to-day affairs.",Constitutional
"Challenge to Caretaker Government's significant appointments/transfers under Article 184(3); Supreme Court suspends actions, restricts to day-to-day.",Constitutional
"SC suspends notifications of members elected via irregular bye-elections by Election Commissioner, directs verified electoral lists, pending 20th Amendment.",Constitutional
"Constitution Petitions challenging Election Commission's flawed voters' list revision, especially unverified entries and shifting Karachi votes.",Constitutional
Supreme Court directs Election Commission to revise Karachi electoral rolls with Pakistan Army/FC assistance due to irregularities/disenfranchisement.,Constitutional
Constitutional Petition challenging Election Commission's ex-parte order for vote recounting in NA-266; petitioner directed to High Court.,Constitutional
"Constitution petition challenging DG CAA's appointment, NBBIAP project corruption, delays, and cost escalation under Article 184(3).",Constitutional
"Challenge to carbon tax replacing Petroleum Development Levy (PDL) on petroleum product pricing; Court suspends tax, seeks justification.",Constitutional
"Court questions Secretary Aviation's transfer violating civil servant tenure rules from Anita Turab's Case, demanding justification.",Constitutional
"SC orders OGRA to revise CNG price fixation, abandon petrol linkage, suspend arbitrary operating cost formula.",Constitutional
"Constitutional petition challenges appointment of Prime Minister's Advisor on Aviation; advisor resigns amidst controversy, Court orders acceptance.",Constitutional
"Constitution petition addressing financial irregularities, cost escalation, and contractual mismanagement in Benazir Bhutto International Airport construction.",Constitutional
"Challenge to frequent police officer transfers in Punjab violating Police Order 2002, alleging political interference impacting fundamental rights via Article 184(3).",Constitutional
Constitutional petition against multibillion EOBI scam involving former Chairman and DGs.,Constitutional
"EOBI multi-billion scam: Constitutional petition on irregular land purchase from DHA, violating procurement rules, court orders deposit.",Constitutional
"Constitution petition concerning multi-billion EOBI scam; Court directs compliance, property release, and stops FIA harassment.",Constitutional
"EOBI multi-billion scam: Supreme Court monitors FIA inquiry, orders freezing accounts, property evaluation against DHA, Eden Housing.",Constitutional
"Constitutional petition addresses miserable school conditions, ghost schools, teacher absenteeism, and Article 25A education right enforcement.",Constitutional
"Constitutional petitions seeking overseas Pakistanis' right to vote in general elections, leading to election law amendments for out-of-country voting.",Constitutional
Legality of Chief of Army Staff's tenure extension challenged under Article 184(3) due to procedural flaws.,Constitutional
Challenge ECP's Presidential Election schedule citing religious obligations during Ramadan; Court directs date change ensuring electoral participation.,Constitutional
Supreme Court directs ECP to facilitate overseas Pakistanis' fundamental right to vote in general elections under Article 184(3).,Constitutional
Petition seeking to enable Overseas Pakistanis' constitutional right to vote in general elections by devising voting mechanisms.,Constitutional
"HBL ex-employees challenge compulsory retirement under non-statutory rules, alleging fundamental rights violation via Article 184(3); petition dismissed.",Constitutional
"Supreme Court directs ECP to implement plan for overseas Pakistanis' right to vote, requiring legislation and logistical steps.",Constitutional
Disqualification of a member of parliament under Article 63(1)(g) of the Constitution and powers of Supreme Court.,Constitutional
"Petitions regarding NRO judgment implementation, Article 63 disqualification of public office holders, and contempt of court under Article 184(3).",Constitutional
Supreme Court reviews Speaker's ruling on Prime Minister's disqualification post contempt conviction under Article 63(1)(g) and affirms it.,Constitutional
"Supreme Court declared PM Yousaf Raza Gillani disqualified from Parliament and Premiership due to contempt of court, affirming judicial review powers.",Constitutional
"SC voids OGRA Chairman's appointment due to flawed, non-transparent selection process, fake degree, and orders NAB probe for corruption.",Constitutional
"Public interest litigation challenges Gas Regulator Chairman appointment, UFG losses, and tariff regulation, asserting judicial review.",Constitutional
"Petitions against unconstitutional closure of ARY/GEO News by cable operators, violating media freedom and public information access.",Constitutional
"SC addresses E&P companies' failure to meet social, environmental obligations and utilize welfare funds, invoking Article 184(3) for public welfare.",Constitutional
"Supreme Court declares closure of Basic Education Community Schools and winding up of education commissions unconstitutional, violating Article 25A.",Constitutional
"Supreme Court interprets Section 251 scope, remedial jurisdiction, and relief in review petitions, emphasizing fundamental rights and justice.",Constitutional
"SC directs federal/provincial governments to urgently build dams for water security, citing Article 184(3) and establishing public fund.",Constitutional
"Challenge to SECP Chairman/Commissioners' appointments, service rules, and Finance Act 2003 amendment under Article 184(3) for constitutional violations.",Constitutional
SECP Chairman appointment set aside; SECP Act Section 5(5) and service rules' termination clause declared unconstitutional under Article 184(3).,Constitutional
"Dispute over corporate governance, regulatory compliance by SECP, and protection of shareholders' rights under Companies Ordinance.",Civil
"Constitution Petition concerning delays in Nandipur and Chichoki Mallian power projects, involving machinery release and financing issues.",Constitutional
Supreme Court voids NAB Chairman's appointment under Article 184 for unlawful consultation per NAB Ordinance Section 6.,Constitutional
"Constitution Petition challenging Chairman NAB's appointment due to improper consultation under National Accountability Ordinance, 1999.",Constitutional
"Probe ordered under Article 184(3) into alleged Haqqani memo to US, compromising Pakistan's national security, fundamental rights.",Constitutional
"Constitutional petition under Article 184(3) regarding alleged memo by ex-Ambassador Haqqani to US Joint Chiefs, seeking military intervention.",Constitutional
"Supreme Court extends Memogate probe time, allows Haqqani to travel, regarding alleged memo to Mullen under Article 184(3).",Constitutional
"SC intervenes in sensational murder of Mir Bakhtiar Domki's family, causing Balochistan unrest, due to slow police investigation.",Constitutional
"Supreme Court addresses Balochistan's missing persons, forced disappearances, law and order, and fundamental rights enforcement under Constitution.",Constitutional
"Supreme Court reviews target killings, FIRs, administrative failures, and compensation issues in law enforcement, urging improvements.",Constitutional
"Balochistan law and order, missing persons, unidentified dead bodies, target killings, and government/police accountability issues.",Constitutional
"Supreme Court reviews criminal appeals concerning investigation, bail applications, and penal code sections.",Criminal
"SC directs governments to address Balochistan missing persons, target killings, and abductions, ensuring constitutional enforcement amid agency failures.",Constitutional
"Supreme Court consolidated petitions concerning constitutional, fundamental rights, and public interest issues, including tax/revenue matters.",Constitutional
"Balochistan missing persons, target killings, and sectarian violence; urgent call for Local Government elections under constitutional commitment.",Constitutional
"Supreme Court addresses Balochistan's deteriorating law and order, missing persons, target killings, and government's failure to protect fundamental rights.",Constitutional
Article 184(3) Constitution Petition concerning alleged memo by former Ambassador Haqqani and PM's evasive statement on judiciary.,Constitutional
"Supreme Court declares Contempt of Court Act 2012 unconstitutional, upholding judicial independence, striking provisions granting public office holders immunity.",Constitutional
"SC finds Ambassador Haqqani authored 'Memogate' memo to US, breaching national loyalty and Constitution under Article 184(3).",Constitutional
"Probe 'Memogate' scandal: alleged confidential memorandum by Ambassador to US military, compromising Pakistan's sovereignty under Article 184(3).",Constitutional
"Supreme Court probes 'Memogate' under Article 184(3) concerning national security, civilian government stability, and foreign intervention allegations.",Constitutional
"Constitution petition challenges election campaign expense regulation and practices to ensure free, fair, and honest elections under constitutional mandate.",Constitutional
SC petition under Article 184(3) challenging election practices violating fundamental rights.,Constitutional
"Constitutional petitions challenging Islamabad Safe City Project procurement contract for violating PPRA Rules, citing lack of transparency and inflated cost.",Constitutional
"Constitutional petitions challenging media regulation, freedom of speech, information access, federal information ministry, secret funds, and PEMRA acting chairman's authority.",Constitutional
"SC declares secret service funds exempt from Auditor General's audit unconstitutional, affirming public accountability and transparency.",Constitutional
"Balochistan PSDP fund misappropriation, corruption in development schemes, and accountability issues examined under Article 184(3) Constitutional petition.",Constitutional
"Challenge to ex-PM's development fund distribution, alleged corruption, and schemes' compliance with PEPRA Rules and public interest.",Constitutional
"Constitutional petition regarding non-issuance of notifications for Islamabad High Court judges' appointments, directing their immediate issuance.",Constitutional
"Suo moto review of judges' pensions: SC declares previous 'per incuriam' for lacking five-year service, affecting public exchequer.",Constitutional
"Constitution petition concerning Shahzeb Khan's murder investigation, suspect tracing (Dubai), and bail before arrest matters.",Criminal
"Court addresses Christian Colony violence, police failure to protect fundamental rights post-blasphemy, and orders IGP appointment for law/order.",Constitutional
"Constitutional challenge to immediate sales tax increase on petroleum products/CNG via Declaration, violating Article 77 and fundamental rights.",Constitutional
"Supreme Court suo moto action on 2010 flood devastation, investigating embankment breaches, government negligence, relief, compensation, and fundamental rights.",Constitutional
"Supreme Court declares Contempt of Court Act 2012 unconstitutional, violating judicial independence, fundamental rights, and Article 204.",Constitutional
"SC challenges illegal Islamabad High Court appointments/absorptions, mandates merit-based recruitment via competitive process, upholding fundamental rights.",Constitutional
"EOBI corruption: non-transparent appointments, wasteful investments violating workers' fundamental rights under Article 184(3) Constitution.",Constitutional
"Dissenting opinion on NAB law amendments; concerns parliamentary supremacy, judicial review limits, and separation of powers principle.",Constitutional
"Petitions seek early general elections, challenging census approval and delimitation causing delay beyond constitutional 90-day limit.",Constitutional
"Supreme Court addresses eunuchs' fundamental rights, identity, dignity, and inheritance, combating molestation and discrimination under Article 184(3).",Constitutional
"SC probes multi-billion EOBI property investment scam; orders freezing accounts, FIA investigation into fraudulent deals, and fund recovery.",Constitutional
"Balochistan law & order, missing persons, sectarian killings, and constitutional mandate for Local Government elections; Court directs federal/provincial action.",Constitutional
"Balochistan fundamental rights enforcement, missing persons, law/order failure, government's constitutional authority challenged by Supreme Court.",Constitutional
"Challenge to IRA 2008 repeal and NIRC jurisdiction post-18th Amendment, regarding labor laws and provincial legislative competence.",Constitutional
"Caretaker Government's unlawful appointments, transfers, terminations, and non-compliance with court orders challenged in constitutional petition.",Constitutional
"Balochistan law and order crisis, fundamental rights violations (target killings, missing persons), government's constitutional failure and inter-agency issues.",Constitutional
Balochistan government's constitutional authority challenged over failure to protect fundamental rights amidst internal disturbances.,Constitutional
Supreme Court urges Election Commission to facilitate overseas Pakistanis' right to vote registration and voting mechanism.,Constitutional
"Supreme Court directs ECP and ministries to ensure Overseas Pakistanis' fundamental voting right in elections, overcoming logistical hurdles.",Constitutional
Challenge to USF funds transfer to FCF; examining constitutionality and lost profits before 3G/4G auction.,Constitutional
"Suo Moto regarding NICL scam, investigating team's transfers/suspension for public procurement rule violations, undermining court directions.",Constitutional
"Supreme Court addresses Balochistan missing persons, illegal detentions, police accountability, and law and order, directing recoveries and inquiries.",Constitutional
"Constitutional petition concerning recovery of missing persons in Balochistan, emphasizing police duty under Article 9 of the Constitution.",Constitutional
"Constitution Petition challenging disqualification from public office under Article 184(3), involving fundamental rights and public importance.",Constitutional
"Challenge to President's misconduct reference against Chief Justice, his restraint, and SJC proceedings, upholding judicial independence.",Constitutional
"Supreme Court intervenes in Bank of Punjab fraud, declaring NAB Acting Chairman and Prosecutor General appointments illegal, protecting public funds.",Constitutional
"Supreme Court mandates judicial independence for Service Tribunals, requiring Chief Justice consultation for appointments and financial autonomy.",Constitutional
PTI Chairman petitions against ECP's failure to ensure level playing field and stop harassment in elections under Article 184(3).,Constitutional
Disqualification of Parliamentarians for dual citizenship under Article 63(1)(c) of the Constitution and false election declarations; ECP to de-notify.,Constitutional
Contempt proceedings against judges terminated after regret for violating constitutional restraint order against unconstitutional oath-taking.,Constitutional
Election petition challenging NADRA thumb impression verification scope for all ballot counterfoils in Balochistan general elections.,Constitutional
Challenge to KPK Government's Revenue Inspector test cancellation and re-advertisement; petitioner forfeited rights by re-participation.,Civil
"Supreme Court dismisses petition against FST's reinstatement of Naib Subidar, citing delay and flawed departmental inquiries in service matter.",Civil
Ufone challenges PTA's unilateral imposition of Annual Spectrum Administrative Fee (ASAF) under a 2004 policy on its 1998 license.,Civil
"Constitutional law questions concerning election eligibility (Articles 62/63), justiciability of political questions, and parliamentary privileges.",Constitutional
"Civil Petition under Article 185(3) concerning Articles 62, 63, 66 of Constitution of Pakistan.",Constitutional
Conviction under Narcotic Substances Act set aside due to deficient Government Analyst report lacking mandatory test protocols.,Criminal
"Supreme Court upheld Mian Nawaz Sharif's disqualification from elections due to convictions, unpaid loans, and defaming judiciary, rejecting recusal pleas.",Constitutional
"Civil Petition: Supreme Court issues notice to Election Commission, others; status quo maintained in ongoing matter.",Civil
"Input judgment text is empty, no analysis possible from provided information.",Civil
"SC sets aside High Court judgment, orders appointment of Acting Chairman and CEC for PCB elections under new Constitution.",Civil
Supreme Court declares Chagai Hills mining joint venture (CHEJVA) and subsequent agreements illegal/void due to violations of Balochistan mining laws.,Constitutional
Challenge to Parliamentary Committee's unconstitutional refusal to confirm Judicial Commission's nominations for High Court judges' tenure extension under Article 175A.,Constitutional
"Civil petitions challenging Islamabad High Court judgment on PCB contract appointments, citing incompetence due to lack of statutory rules.",Civil
Challenge to NECOSA Act and Seventh Wage Award constitutionality dismissed; Supreme Court upholds newspaper employee labor law and wage fixation.,Constitutional
SC admonishes NAB for non-compliance with judgment regarding PG/ADPG appointments and ineffective prosecution in claims cases.,Constitutional
"Criminal appeal: Husband acquitted of wife's murder due to unreliable eyewitnesses, contradictory medical evidence, and unproven motive.",Criminal
Supreme Court acquitted Khurram in a criminal appeal concerning abduction for ransom and homicide due to doubts in prosecution evidence.,Criminal
"SCP sets aside Dar-ul-Aman detention via habeas corpus, upholding woman's liberty and free will in a marriage dispute.",Constitutional
