statement,priority
Federal/Provincial dispute over Citizen's Portal constitutionality; SC clarifies no interference with provincial executive authority.,High
"Challenge to High Court's suo motu jurisdiction over executive policy on poultry/dairy prices, export ban, violating trichotomy of powers.",High
"SC confirms unjustified customs confiscation of excess transit goods under Pak-Afghan Transit Agreement, rejecting Customs Act violations.",Low
Dispute over Land Acquisition Act S.34 interest calculation on compensation from possession date for Multan By-Pass land.,Medium
"Government's appeal to withdraw from completed land acquisition under Section 48 of Land Acquisition Act, 1894, refused as possession taken.",Medium
HEC's scholarship recovery suit time-barred; Supreme Court holds HEC not government for Limitation Act's 60-year period.,Medium
"Challenge to gift deed validity by attorney, lacking principal's consent for property already gifted to respondent.",Low
Dispute over bank employee's 'workman' status under Industrial Relations Act regarding termination and NIRC jurisdiction.,Medium
"SC confirms labour/carriage services fall under final tax regime (Income Tax Ordinance, S.153(1)(c)), dismissing Inland Revenue appeal.",Medium
"Market Committee challenged High Court remand for re-determining plot allotment cancellation due to non-payment of dues, surcharges, and penalties.",Low
"Bail granted in NAB reference for alleged illegal municipal land lease by public officials, misappropriating public property.",High
Civil servants' promotion to BPS-21: PM's power to return Selection Board recommendations for reconsideration on integrity issues.,High
Supreme Court grants bail to Gulab Khan in NAB corruption case involving plot embezzlement; co-accused already released.,High
Government challenged High Court's direction to adjust student for scholarship based on verified date of birth eligibility.,Medium
"Election candidate disqualified under Article 62(1)(f) for forging matriculation certificate, impacting eligibility for PP-61 due to past misconduct.",High
"Supreme Court sets aside High Court judgment annulling PCB supersession and employee terminations, upholding new constitution and elections.",High
Supreme Court directs Government to seek stay on ICC/ICSID arbitration over Reko Diq mining joint venture validity.,High
"Supreme Court voids Reko Diq mining agreements; citing illegal rule relaxations, non-transparency, and public interest violations.",High
"Review of Chagai Hills mining concession validity, joint venture agreements, and regulatory compliance by BDA, BHP, TCC.",High
"Challenge to NAB's mala fide transfer and exoneration of Bahria Town in land fraud cases, directing ACE to proceed.",High
"Court allows recording civil case witness cross-examination via video conferencing from abroad, adapting law to modern technology for justice.",High
"SC clarifies Federal Government's exclusive executive authority for high-level appointments under Article 90, revisiting prior judgment's 'Commission' requirement.",High
"SC criticizes NAB for lack of diligence in apprehending accused, mal-administration, and failure to pursue disciplinary action against officers.",High
Petitions seeking Federal Government to lodge high treason complaint under Article 6 against Pervez Musharraf regarding 2007 acts.,High
Petitions seek high treason proceedings under Article 6 against Pervez Musharraf for subverting the Constitution via PCO 2007.,High
"Petition seeking directions on foreign policy, defense, and nuclear arsenal dismissed as non-justiciable under Article 199.",High
Punjab govt challenges Service Tribunal's decision granting selection grade to regularized Graduate Primary Teachers without policy.,Medium
Second writ petition for regularization of services deemed not maintainable by Supreme Court due to prior adjudication and CPC Order II Rule 2.,Medium
"Timeliness of decree execution challenged; limitation period under Limitation Act, 1908, after appeal/revision dismissal without stay.",Medium
Candidate disqualified from General Election 2013 for dual nationality and false declaration under Articles 62/63 of the Constitution.,High
Election candidate disqualification under Article 63(1)(n) of Constitution for social security dues default.,High
Governor as University Chancellor is bound by Chief Minister's advice under Article 105 for Vice Chancellor appointment; upholds constitutional parliamentary democracy.,High
Petitions against Pervez Musharraf for high treason under Article 6; Federation details investigation and Special Court constitution.,High
Constitutional petitions against Federation and General Pervez Musharraf adjourned by Supreme Court.,High
Judgment text missing; analysis could not be performed.,Low
Criminal appeal regarding death sentence for murder; partial compromise with widow insufficient for sentence reduction in Ta'zir case.,High
"Supreme Court modifies police convictions for injuring lawyers during judicial independence rally, converting to rash/negligent act.",High
s,Medium
"Review of judgment declaring out-of-turn police promotions unconstitutional in Punjab, affecting seniority and challenging retrospective application.",High
"Dismissal of review petitions seeking clarification/compliance of judgment on bank employees' pensionary benefits, excluding Golden Handshake Scheme recipients.",High
"Review petitions against Army Act convictions; Cr.P.C. compromise provisions deemed inapplicable to special military law, upholding limited review jurisdiction.",Medium
Review of Election Tribunal's power: partial re-poll vs. declaring entire election void under ROPA Sections 67/70.,High
Civil Review Petition against land sale cancellation due to misrepresentation under Colonization Act and High Court's review jurisdiction.,Medium
"Supreme Court dismisses civil review petitions, upholding concise orders adopting lower court reasoning; condones delay.",Low
"Review of judgment on Sindh civil servant absorption, out-of-turn promotions, transfer rules, and High Court jurisdiction in service matters.",High
Civil Review Petitions against judgment dated 13.3.2017 in SMC No.18/2016 dismissed by Supreme Court.,Medium
Dismissed review petition against constitutional judgment for fundamental rights; re-hearing denied as review grounds were not met.,High
"Review of pre-emption suit decree due to mandatory Talb-i-Ishhad notice service under Punjab Pre-emption Act, 1991; non-waivable requirement.",Medium
"Bail petition under PPC 489-F; court also monitors National Action Plan implementation, NGO funding and terrorist financing.",High
Review of election disqualification under Article 62(1)(f); Returning Officer's summary finding not 'court of law' declaration post-18th Amendment.,High
PTCL employees' statutory service terms under 1991/1996 Acts allow Article 199 constitutional jurisdiction; affirming protected rights.,High
"Petition challenging High Court's dismissal of pre-arrest bail in abduction (365 PPC) case, noting repeated applications strategy.",High
"Reviewing ""harassment"" under Workplace Harassment Act 2010, including gender-based discrimination beyond sexual nature; previous restrictive interpretation set aside.",High
"Civil review petitions in Suo Motu Case No. 7/2017 by state and political entities seeking judgment review, withdrawal.",High
"Supreme Court reviews applications, withdrawals, and implementation reports concerning prior Suo Motu judgment, addressing PEMRA and ECP conduct.",High
Petitioner denied bail in multi-million rupee online job scam involving public fraud; court emphasized curbing organized cybercrime.,High
"Review of Sacked Employees (Re-instatement) Act, 2010's constitutionality; held void, but certain employees reinstated under Article 184(3).",High
Dismissal of review petitions challenging the Sacked Employees Act 2010 declared ultra vires for violating constitutional appointment principles.,High
"Constitutional validity of Sacked Employees (Re-instatement) Act 2010; political victimization, seniority, and Article 25 equality reviewed.",High
Supreme Court reviews constitutional petition; recalls directions against Justice Qazi Faez Isa and subsequent SJC proceedings.,High
"Review petitions challenging FBR investigation into Justice Qazi Faez Isa's family's undeclared foreign properties, affirming judicial accountability and constitutional jurisdiction.",High
"SC reviews and recalls directions on Justice Qazi Faez Isa's family tax and SJC referral, citing constitutional violations and due process.",High
"Supreme Court reviews directions to SJC and FBR on judge's family assets, finding interference with constitutional autonomy and tax laws.",High
"Review petitions by Nawaz Sharif, Ishaq Dar, Maryam Nawaz against constitutional judgment dismissed.",High
Review petition challenging Mian Muhammad Nawaz Sharif's disqualification for non-disclosure of unwithdrawn assets (Capital FZE salary) and NAB directions.,High
"Reviewing illegal plot allotments by National Police Foundation; upholding cancellations for corruption, directing market price recovery, protecting bona fide purchasers.",High
"Review petition challenges denial of Shaheen Airport Services' charitable status, upholding applicability of industrial relations laws.",Medium
"SC clarifies its order regarding Margallah Hills mining lease cancellation, finding agency's citation of court order unjustified.",High
"Supreme Court reviews alleged contempt and violation of its order restraining quarrying, construction in Margallah Hills National Park.",High
Federation's review petition against GIDC declared unconstitutional; debated as fee vs. tax under Entry 51.,High
"Review petition challenging property sale confirmation in banking decree execution due to procedural irregularities, deposit issues, and reserve price.",Medium
Supreme Court reviews writ maintainability against Pakistan Olympic Association regarding election irregularities under Article 199 constitutional interpretation.,Medium
"Review of election disqualification due to alleged fake degree obtained by impersonation, focusing on standard of proof and court's visual comparison.",High
"Supreme Court addresses mental illness in condemned prisoners, mandates medical assessment for trial/execution, and orders systemic legal reforms.",High
No judgment text provided for analysis. Cannot extract case details as per request.,Low
"Review petition challenges GIDC Act, 2015 judgment on cess collection, constitutional validity, res judicata, and bench constitution.",High
Civil Review petition challenging income tax assessment amendment by Deputy Commissioner lacking proper delegation of authority from Commissioner Inland Revenue.,Medium
Supreme Court rejects Inland Revenue's civil review challenging High Court's Double Taxation Treaties application to Super Tax.,Medium
"Supreme Court affirms enhanced land acquisition compensation, rejecting revenue classification. Emphasizes fair market/potential value guidelines for public purpose projects.",Medium
No judgment text provided; unable to derive case details or classify.,Low
Review petition challenging Pakistan Air Force Court Martial's jurisdiction over Corporal Technician's 'civil offence' conviction/dismissal.,Medium
Review petition against perpetual ban on Houbara Bustard hunting; challenges legality under wildlife laws and international conventions.,High
"Dissent on review petitions regarding larger bench constitution, time-barred pleas, and Houbara Bustard hunting ban under wildlife/constitutional law.",High
Dismissed review petitions challenging 6% interest on enhanced compensation under KPK's amended Land Acquisition Act.,Low
"Review of PTV MD appointment, illegal loss recovery from Attaul Haq Qasmi, Pervaiz Rasheed, Ishaq Dar, Fawad Hassan Fawad.",High
"Review petition challenging administrative order for non-maintainability of application related to service appeal, increments, pensionary benefits.",Low
"Civil Review Petition challenging seniority fixation of deputationists in FBR Income Tax Group, misinterpreting Civil Servants (Seniority) Rules 1993.",Medium
"Review petition: Supreme Court transfers biased NAB corruption inquiry against Arsalan Iftikhar, Malik Riaz, due to Attorney General's influence.",High
"Review of Supreme Court judgment striking down legislative instruments on civil servants' appointments, promotions, and transfers/absorptions in Sindh.",High
General procedural matter with no specific legal dispute provided for analysis.,Low
"SCP examined FSC's jurisdiction to direct Arabic language promotion in education under Article 31(2)(c), finding it exceeded its powers.",High
"SC dismisses appeal in Federal Shariat Court service matter, finding no jurisdiction under Articles 203-F and 212.",Medium
"Constitutional petition challenging General Elections 2024 declared null and void, withdrawn after media hype, penalized for abusing court process.",High
,Low
ECP challenges Punjab's local government delimitation powers; SC affirms ECP's constitutional mandate for fair local elections.,High
"Supreme Court clarified NAB Ordinance's ""person"" definition; guarantor, even if employee, falls under its scope for prosecution.",High
"Challenge to High Court's regularization of contract/project employees under 2005/2009 Civil Servants Acts, denying backdating.",Medium
"SC affirms ECP's constitutional mandate for local government election delimitation, declares Punjab Act ultra vires, and sets election timeline.",High
"SC establishes NIRC's exclusive jurisdiction over trans-provincial industrial disputes, overriding provincial labor courts per IRA 2012 and Article 143.",High
Candidate disqualified under Article 62 for misrepresenting educational Sanad equivalence in election nomination papers.,High
Interpreting Punjab Rented Premises Act 2009 Sections 8 & 9 regarding mandatory fines for non-compliant tenancy agreements in ejectment cases.,High
"NBBIAP corruption, illegal DG CAA appointment, cost escalation probed under Article 184(3), FIA inquiry ordered.",High
"SC sets aside non-transparent WAPDA Lakhra Power Station lease and power purchase agreement, orders inquiry into irregularities.",High
"Court clarifies Article 199 jurisdiction over Election Tribunal interlocutory orders in post-election disputes, interpreting Article 225.",High
"Chairman NAB appointment challenged for violating consultation rules and 'non-extendable period' under NAB Ordinance, impacting fundamental rights.",High
"Unconstitutional sales tax hike on petroleum, CNG via Finance Bill without proper legislation, violating Articles 3, 9, 24, 77.",High
Appeal against Registrar's order rejecting Constitutional Petition on maintainability and Article 248 grounds; ordered to entertain.,Medium
SC directs PEMRA to issue Satellite TV license after unjustified delay and security clearance refusal by Ministry of Interior.,High
"Election petition against MPA's age qualification, upholding civil court decree on candidate's eligibility under Representation of People Act.",High
Service Tribunal appeal dismissed for being time-barred and having an unsigned memo; leave to appeal declined.,Medium
"Petition against High Court judgment on sufficiency of hearing by Section Officer, affirming larger bench precedent.",Medium
"Civil servant acquitted of murder claims full back benefits for suspension; Supreme Court affirms honourable acquittal, entitlement to full pay.",Medium
No judgment text provided for analysis.,Low
Public park conversion into mini-golf by CDA challenged under Article 184(3) for violating fundamental rights and transparency.,High
No judgment text provided for analysis. Cannot extract case details.,Low
"Supreme Court grants leave to appeal criminal convictions for murder and robbery, considering sentence enhancement for co-accused.",High
"Supreme Court voids Pakistan Steel Mills privatization for lack of transparency, improper valuation, and procedural irregularities, requiring CCI reconsideration.",High
"Presidential Reference on NWFP Hisba Bill's constitutionality, violating fundamental rights, separation of powers, and parallel judicial system.",High
"Constitutional validity of Section 2-A Service Tribunals Act, 1973, declaring corporate employees as civil servants for service matters.",High
No discernible case details available from the provided empty judgment text.,Low
"Supreme Court acquitted appellant in murder case, citing 11-day FIR delay and prosecution witness credibility doubts.",High
Court reiterates directions against government withdrawing judges' restoration; orders inquiry into media reports about potential withdrawal.,High
Supreme Court directs ECP to finalize media Code of Conduct for elections; investigates government secret funds for media advertisements.,High
"SC issues contempt notice to NAB Chairman for misusing court's name to remove investigating officers, impeding RPP case compliance.",High
"Review petition challenging Supreme Court's NRO judgment declaring it void ab initio; Federation's appeal dismissed, NRO unconstitutional.",High
"Ensuring ECP's implementation of constitutional directions for free, fair elections; discussing electoral reforms like compulsory voting.",High
"Court monitors atta/flour price escalation compliance, ensuring minimum nutritional needs and fundamental rights (Articles 9, 14, 38).",High
"SC takes notice of Karachi ""no-go areas"" by militants, demanding law enforcement explain citizen protection failure.",High
"Supreme Court reviews FTO report on Rs.55bn ISAF Container Scam, noting FBR's poor recovery and recommendation implementation.",High
"Supreme Court orders inquiries into missing persons' detention, treatment, and agency involvement; seeks details on internment center internees.",High
"SC questions government over institutional clash, banners in missing persons case, highlighting irreparable loss.",High
"Application challenging Federal Ombudsman's appointment, salary, leave, and oath, requiring official records for transparency.",High
MPA disqualified for submitting fake degree in elections; Article 62(1)(f) disqualification is permanent.,High
"SC addresses NAB Chairman's letter alleging judicial interference in RPP corruption probe, impacting elections, issuing contempt notice.",High
"MPA's alleged fake FA degree; Court withdrew suo moto notice, finding no conclusive proof on certificate authenticity.",High
"SC orders immediate local body elections in Cantonment Boards, ICT, and KP, enforcing Article 140A constitutional mandate, warns of contempt.",High
ECP seeks local government election date extension; Supreme Court reiterates constitutional duty to hold polls across provinces/cantonments.,High
"Application seeking vote recount, thumb impression verification over 2013 election rigging and expedited election petitions.",High
Pervaiz Musharraf's civil appeals challenge Registrar's objections to maintainability of review petitions against constitutional judgments.,High
"Compliance report on atta/flour price escalation, fundamental rights (life/dignity), empirical data sought from governments.",High
"Suo Moto action on Abbas Town Karachi terrorism incident; probing police, Rangers, and provincial government's failure to prevent/respond, and law/order.",High
"Suo Moto: Karachi bomb blast; court directs police depoliticization, intelligence coordination, and Anti-Terrorism Court infrastructure improvements.",High
"Supreme Court addresses judge recusal over media-reported familial bias in constitutional petition, upholding judicial impartiality under conduct rules.",High
"Supreme Court criticizes Islamabad Police's incompetence, lack of diligence investigating anti-state banners, ordering IGP explanation for security lapse.",High
KPK Local Government Act non-compliance on public property disclosure and constitutional violation for not holding local elections.,High
"SCOP examines delays in Cantonment Local Government Elections, constitutional mandate (Art. 140A), existing law, and contempt of court.",High
"Supreme Court reviews illegal Ephedrine quota allocation, ANF investigation obstruction, and official transfers concerning high-ranking individuals under Narcotic Substances Act.",High
"Ephedrine illegal quota allocation, criminal negligence by pharma companies/officials, high-level investigation interference.",High
"No judgment text provided, unable to derive case information for analysis.",Low
"SC dismisses judges' review petitions on maintainability, upholding judgment against Musharraf's unconstitutional PCO judicial appointments.",High
"Court addresses reports of government's intent to withdraw judges' restoration notification, affirming judiciary's constitutional mandate against pressure.",High
"Court grants extension for long-delayed Cantonment Board elections, emphasizing local government's constitutional importance under Articles 32, 140A.",High
Supreme Court directs ECP/HEC for urgent verification of parliamentarians' degrees amidst fake/bogus allegations.,High
Supreme Court reviews parliamentarians' fake/bogus degrees; suspends memberships for Raja Shaukat Aziz Bhatti and Kh. Muhammad Islam.,High
"Supreme Court inquires into alleged misappropriation of millions from Intelligence Bureau funds for undisclosed purposes, demanding expenditure details.",High
Contempt proceedings initiated against NAB Chairman/officers for non-implementation of judgment on RPPs corruption case.,High
"Supreme Court reviews OGRA's arbitrary CNG pricing process infringing fundamental rights, directs lawful determination.",High
Empty judgment text; analysis not possible.,Low
"Validity of NBP President's fifth reappointment challenged; amendment via Finance Act, 2007, of Banks Nationalization Act declared unconstitutional.",High
"SC presses governments for immediate enforcement of Articles 32, 140A for Local Bodies Elections, ensuring constitutional adherence.",High
"Constitutional petition challenging Deputy Speaker's ruling on Punjab CM election, setting aside vote exclusion under Article 63A.",High
"SC voids Pakistan Railways Golf Club land lease due to non-transparent process, corruption, and massive public loss under Article 184(3).",High
"SCBA seeks adherence to Constitution, peaceful no-confidence motion process; addresses Sindh House violence and Article 63A reference.",High
"Interpreting Article 63A of Constitution regarding political party defections, vote counting, and lifetime disqualification in parliamentary democracy.",High
Constitutional interpretation of Article 63-A regarding no-confidence motion and restraining political rallies in Islamabad.,High
"SC reviews illegal SMG/prohibited bore weapon licenses, public safety, constitutional equality, and government's role in arms control.",High
"SC declares ECP's extension of Punjab elections beyond 90 days unconstitutional, quashes order, revives schedule, directs support.",High
Petition challenging ECP's ultra vires order annulling election polling date set by President under Constitution and Elections Act.,High
"Constitutional challenge to Election Commission's order, alleging ultra vires actions on election financial and security issues.",High
"Supreme Court directs State Bank to release Rs. 21B for Punjab/KP elections, enforcing constitutional mandate.",High
"Judge recuses from bench over ex-parte order, lack of consultation, urging Full Court for constitutional issues.",High
SCP quashes ECP order extending Punjab Assembly election beyond 90-day constitutional period; mandates executive aid.,High
"Supreme Court takes suo motu notice of systematic deforestation at Fatima Jinnah Park, Islamabad, impacting fundamental rights.",High
"SCP concerned about CDA's systematic deforestation of Fatima Jinnah Park, Islamabad, exceeding paper mulberry removal.",High
No judgment text provided for analysis to extract case details.,Low
"Challenge to Supreme Court (Practice and Procedure) Act, 2023 vires; Act sustained, but retrospective appeal right declared ultra vires.",High
"Case concerns Parliament's legislative competence to enact Supreme Court (Practice and Procedure) Act 2023, interpreting Article 191 and scope of intra-court appeals.",High
"Constitutional petitions challenge/seek setting aside of Supreme Court (Practice and Procedure) Bill, 2023.",High
"Petitions challenge Supreme Court (Practice and Procedure) Bill 2023's constitutionality, impacting judicial independence via Article 184(3).",High
"SC judgment on Supreme Court (Practice and Procedure) Act, 2023, declaring retrospective appeal for Article 184(3) orders ultra vires.",High
"Challenge to Supreme Court (Practice and Procedure) Act, 2023 (PAPA) over legislative competence, judicial independence, declared ultra vires.",High
"Challenging Supreme Court (Practice and Procedure) Act 2023; ruling it ultra vires, upholding judicial independence under Article 191.",High
Supreme Court (Practice and Procedure) Act 2023 vires challenged; legislative competence and appeal rights under Article 184(3) debated.,High
"SC Practice and Procedure Act 2023 challenged; legislative competence upheld, but retrospective appeal rights declared ultra vires the Constitution.",High
"Empty judgment provided, no case details to analyze.",Low
"Constitution petition on vacant Vice-Chancellor positions, non-compliance with statutory meetings, and excessive non-academic staff in public universities.",High
"Supreme Court directs action on Karachi/Jacobabad illegal encroachments, amenity land violations, and rehabilitation of Nalah affectees.",High
"Constitution Petition concerning compensation for demolition affectees (Nallahs, Nasla Tower, Tejori Heights) and removal of public land encroachments.",High
,Low
Missing judgment text; unable to analyze and derive case details.,Low
No case judgment text provided; unable to extract details.,Low
"Petition for simultaneous General Elections of National/Provincial Assemblies through political dialogue, upholding constitutional 90-day election mandate.",High
SC facilitates political parties' dialogue for consensus on simultaneous National/Provincial Assemblies' election date.,High
"Petitions challenge judge's conduct, alleging blackmail and video evidence in Nawaz Sharif's conviction case; SC advises on evidence/disciplinary action.",High
Supreme Court dismissed constitutional petition for transfer of PEMRA Chairman appointment challenges from multiple High Courts; inconvenience insufficient.,Medium
Constitution Petition challenges Pakistan Bar Council's de-seating of SCBA officials and show-cause notices invoking Article 184(3).,Medium
SCBA challenged PBC's show-cause notices and de-seating notifications; amicably resolved via constitutional petition under Article 184(3).,High
Constitutional petition challenging government's inquiry commission into alleged judges' audio leaks for violating judicial independence and separation of powers.,High
"No judgment text provided, unable to analyze and extract case details.",Low
"Supreme Court quashes presidential reference against Justice Qazi Faez Isa, orders tax probe into family's foreign assets.",High
"Presidential Reference against Justice Qazi Faez Isa for undeclared foreign assets quashed due to legal defects, FBR probe ordered.",High
"Challenge to Presidential Reference against a Supreme Court judge for alleged asset non-declaration, found mala fide and unconstitutional.",High
"Supreme Court quashes judge removal reference, citing illegal ARU surveillance, constitutional breaches, and malafide actions against judicial independence.",High
"Article 186A petition for transfer of ECP members' disqualification case from Sindh to Islamabad High Court, citing jurisdiction and fair trial.",High
"Petition challenging Article 209 accountability for retired/resigned judges and SJC procedural directions, dismissed by Supreme Court.",High
"Constitutional petition on fundamental rights, public order during political protest, and alleged breach of court assurances regarding Islamabad rally.",High
"Supreme Court declared NAB 2022 Amendments ultra vires, restoring original anti-corruption powers for public office holders.",High
,Low
"No judgment text provided, analysis impossible.",Low
No judgment text provided for analysis.,Low
Supreme Court deliberates continuing Article 184(3) petition amidst challenges to Supreme Court (Practice and Procedure) Act 2023 validity and bench formation.,High
"Challenge to NAB Ordinance amendments on public office holders' corruption triability, fundamental rights, and legislative competence.",High
"Judge raises concerns over bench constitution under Supreme Court (Practice and Procedure) Act 2023, pending constitutional validity decision.",High
No judgment text provided for analysis.,Low
"Challenge to Supreme Court (Review of Judgements and Orders) Act, 2023 vires; Act expands Article 188 review into appeal, violating judicial independence.",High
No judgment text provided to extract case details or legal issues.,Low
No judgment text provided; unable to summarize case details and legal issues.,Low
"No judgment text provided for analysis, therefore key information cannot be extracted.",Low
"Jirgas/panchayats operating as parallel courts declared illegal, violating fundamental rights; FATA Interim Regulation also struck down for discrimination.",High
"SCP strikes down Sindh Local Government Act sections 74, 75(1) for violating Article 140A on devolution of powers.",High
"Challenge to the constitutional validity of trials of civilians under the Army Act, 1952; fundamental rights invoked.",High
"No judgment text supplied for analysis, unable to extract case details.",Low
"No judgment text provided, preventing analysis and extraction of case details.",Low
Constitutionality of civilian trials under the Army Act 1952 challenged; Supreme Court hears petitions on fundamental rights.,High
"Constitutional challenge to trials of civilians under Army Act 1952, seeking declaration as unconstitutional and void.",High
"Empty judgment text provided, no case details available for summary.",Low
"Constitution Petitions challenging civilian trials under Pakistan Army Act; declared sections ultra vires, mandating trials by ordinary criminal courts.",High
Constitutional challenge against civilian trials under Army Act 1952; judge recused due to kinship with petitioner for impartiality.,High
,Low
"Judgment text missing, preventing case summary, legal issue identification, and categorization.",Low
"Declaring sections of Army Act allowing civilian military trials unconstitutional, violating fundamental right to fair trial and due process.",High
"SC declares military trials of civilians under Army Act unconstitutional, violating fundamental rights and fair trial.",High
"Supreme Court judgment with judicial signatures and notes, but specific case details are unavailable for analysis.",Low
"Constitution Petitions challenging Panama Leaks tax liability, foreign exchange issues; court raises queries on maintainability, statutory bodies.",High
"Panama Papers: SC orders JIT to probe PM Nawaz Sharif for corruption, undeclared assets, and Article 62(1)(f) disqualification.",High
PM Nawaz Sharif disqualified for non-disclosure of Capital FZE assets and false declaration under Article 62(1)(f) of Constitution.,High
Supreme Judicial Council's in camera judicial misconduct inquiries challenged; constitutional validity of SJC Procedure of Enquiry 2005 and open court principles.,High
Supreme Court allows transfer of homicide and bail cancellation cases from Islamabad High Court due to judges' recusals under Article 186-A.,High
Supreme Court directs ECP and Attorney-General to meet President to finalize general election date post-delimitation by February 2024.,High
"Supreme Court facilitates President and ECP to announce general election date amidst census and delimitation delays, ensuring democracy.",High
"Constitution violated due to delayed general elections; public office holders failed to ensure timely polls, eroding fundamental rights.",High
Supreme Court examines non-implementation of Police Order 2002 on statutory tenure for police officers' postings and transfers.,High
"Petition seeking MNA Imran Khan's disqualification over foreign-aided party allegations, prohibited funds, and undeclared assets. Dismissed.",High
National Assembly member disqualified under Article 62(1)(f) for non-declaration of offshore company assets and untrue statements.,High
"Supreme Court holds disqualified persons cannot be political Party Heads under Articles 62/63/63-A, interpreting Election Act 2017.",High
"Constitutional Petition on fundamental right to clean water and safe environment in Sindh, alleging widespread violations and mismanagement.",High
Error: No judgment text provided for analysis.,Low
"Lahore High Court judge challenges seniority re-fixation, arguing appointment date vs. oath date under Constitution Article 184(3).",High
"SCOP examines COAS tenure/extension legality, finding legal vacuum, directs Parliament to legislate within six months under constitutional mandate.",High
"Supreme Court examines COAS tenure and extension legality, finding a legal vacuum in Pakistan Army Act; directs Parliament to legislate.",High
"SC addresses Pakistan's Climate Change Act implementation, policy, and provincial strategies/budgets for existential climate threats.",High
Public interest petition on non-establishment of Climate Change Authority/Fund under 2017 Act; Federal Government directed to act.,High
"Constitutional petition challenges non-establishment of Climate Change Authority/Fund, rendering Act 2017 ineffective amid Pakistan's climate vulnerability.",High
Judge challenges SJC proceedings; court orders impleadment of complainants as proper parties in constitutional petitions.,High
Balochistan's natural gas lease dispute and monitoring of recovered oil/gas company funds for provincial social welfare.,High
Declared Punjab Local Government Act 2019's Section 3 dissolving elected local governments ultra vires Constitution; restored previous setup.,High
"Supreme Court mandates constitutional governance, fundamental rights, and independent judiciary for Gilgit-Baltistan without prejudicing Kashmir dispute.",High
Enforcement of constitutional mandate (Article 251) for Urdu as national official language; government inaction challenged.,High
"SC directs urgent construction of Diamer-Bhasha, Mohmand Dams to combat Pakistan's severe water scarcity under Article 184(3) right to life.",High
No judgment text provided to analyze and extract information for the case statement.,Low
"Challenge by GB Judges to fixed tenure, seeking parity with SC Judges, dismissed as personal rights issue under Article 184(3).",High
"Overseas Pakistanis' right to vote via I-voting in bye-elections; ECP mandated to conduct pilot projects, ensuring system efficacy.",High
"Judicial misconduct: Justice Siddiqui's removal by SJC for speech without inquiry, violating fair trial and due process, held coram non judice.",High
Constitutional petition challenging Supreme Court service rules barring legal representation in disciplinary proceedings for dismissed employee.,Medium
"Supreme Court mandates legal education reforms, including LAW-GAT, LAT, faculty standards, and disaffiliating substandard law colleges.",High
"Pakistan Bar Council enforces Supreme Court judgment on declining legal education standards, directing reforms for law college affiliation and curriculum.",High
"Jurisdiction in detention/death of acquitted persons re-arrested, tried under FCR in Tribal Areas; Article 247(7) and 13 scope.",High
"SC directs Ministry of Defence, others to produce detenus from hospitals and internment centers in compliance with court orders.",High
"SC suspends presidential notifications for judicial appointments (SC Judge, LHC Acting CJ) citing Article 177 consultation violation.",High
"Challenge against PEMRA's withdrawal of exclusive ICC Cricket World Cup 2011 broadcasting rights, restoring Geo Super's entitlement via constitutional petition.",High
"Supreme Court voids unlawful LPG extraction project award by SSGCL to JJVL, citing non-transparent bidding, altered royalties, and public loss.",High
"Constitutional challenge to Habib Bank Limited privatization over mala fides, haste, financial mismanagement; upheld by Supreme Court.",High
"SC examines dual nationality of Parliament members under Article 63(1)(c), suspends MNA for conflicting oaths.",High
"Petition challenging Election Commission appointments by dual national; dismissed due to lack of locus standi, bona fides, and laches.",High
"Petitioner failed to challenge Election Commission's constitution due to dual citizenship, lack of locus standi, and fundamental rights violation.",High
"SC declared EOBI appointments illegal due to nepotism, corruption, and procedural violations, terminating services and directing NAB investigation.",High
"Challenge to vires of Supreme Court (Practice and Procedure) Act, 2023 regarding judicial independence and appeal rights.",High
"Constitution Petition on Lahore High Court Judges' seniority. Principles established for inter se seniority based on appointment, age, and service.",High
Constitution petition: inter se seniority of High Court Judges reckoned from initial Additional Judge appointment vs. permanent appointment.,High
"Supreme Court declares Musharraf's 2007 emergency, PCO, and judicial appointments unconstitutional, overruling the doctrine of necessity.",High
"Supreme Court declares Musharraf's 2007 Emergency, PCO, and judicial appointments unconstitutional and void, restoring judges.",High
Constitution petitions against Federation of Pakistan adjourned due to new judicial year and judicial commitments.,High
"Pakistan Supreme Court upholds 18th and 21st Constitutional Amendments, declining basic structure doctrine's application in judicial review.",High
"Supreme Court deliberates constitutional amendment power, basic structure doctrine, and judicial review concerning Articles 239, 175A, and 63A.",High
"SC examines Ex-PM's discretionary Rs.47 billion development fund (PWP-II) allocation to parliamentarians/notables, questioning constitutional validity and financial propriety.",High
"Bank of Punjab seeks loan recovery, investigating fraudulent mortgages, property valuation, and absconding individuals amidst financial irregularities.",High
"Constitutional petition against ex-PM Raja Parvez Ashraf's non-transparent allocation of PWP-II development funds, diverting from national projects.",High
"SC scrutinizes ex-PM's discretionary allocation of development funds to Parliamentarians and Notables, questioning transparency and criteria.",High
No judgment text provided for analysis; unable to summarize case details.,Low
"Civil service promotions (BPS 20-21) cancelled for arbitrary criteria, non-transparent process, and irregular vacancies, necessitating objective policy.",High
"Protecting civil servants from political interference; ensuring rule-based appointments, transfers, promotions; upholding constitutional safeguards and good governance.",High
Constitutional petition challenging NAB Chairman/Prosecutor-General vacancies and Deputy Chairman exercising delegated powers; Court directs filling vacancies within one month.,High
